function,generator,score
f13,xoshiro,3072.7215502130293
f13,xoshiro,21417.20927911502
f13,xoshiro,10827.094940234318
f13,xoshiro,11658.151393102557
f13,xoshiro,13436.788376925502
f13,xoshiro,15432.057879731981
f13,xoshiro,7379.732734945306
f13,xoshiro,9355.772402151448
f13,xoshiro,2031.229857122521
f13,xoshiro,13993.972178986794
f13,xoshiro,12283.671855266695
f13,xoshiro,6553.648993356324
f13,xoshiro,36814.639468784066
f13,xoshiro,5805.278878041315
f13,xoshiro,31469.365384534674
f13,xoshiro,7041.23102032388
f13,xoshiro,7668.68241444828
f13,xoshiro,9742.259587041466
f13,xoshiro,35855.800783776074
f13,xoshiro,1837.0525123110156
f13,xoshiro,26589.254280434136
f13,xoshiro,29808.30098672557
f13,xoshiro,21453.088256110088
f13,xoshiro,19595.953184431593
f13,xoshiro,20235.437053990456
f13,xoshiro,5151.757342210753
f13,sobol,29809.147675161636
f13,sobol,13844.341891102078
f13,sobol,13564.46585466203
f13,sobol,28597.0734951377
f13,sobol,22698.89155348666
f13,sobol,7728.2476971287
f13,sobol,33026.884345284016
f13,sobol,43994.440742946324
f13,sobol,39423.484308790816
f13,sobol,16551.832407772745
f13,sobol,8162.535847974406
f13,sobol,32899.692109946365
f13,sobol,4944.760708313028
f13,sobol,2233.7347326869985
f13,sobol,14447.77192310595
f13,sobol,2094.464320481795
f13,sobol,14171.768220453227
f13,sobol,47172.82052430308
f13,sobol,22312.423093481568
f13,sobol,1862.9792649014612
f13,sobol,3136.5894769904653
f13,sobol,1432.1417768304882
f13,sobol,56857.10437275989
f13,sobol,8161.9712671499865
f13,sobol,25074.304506286077
f13,sobol,3272.636942486937
f13,sobol,5900.449760782892
f13,sobol,2209.480793576189
f13,sobol,33778.40805721961
f13,sobol,25905.46380701121
f13,halton,25094.15340301141
f13,halton,25980.517497621724
f13,halton,6299.731054386188
f13,halton,5002.928510416311
f13,halton,21602.064695083067
f13,halton,32801.945007774455
f13,halton,9703.224975779713
f13,halton,27927.588430757765
f13,halton,32573.43778672879
f13,halton,30827.21236718476
f13,halton,31130.080385046178
f13,halton,2668.423437230519
f13,halton,2357.6981109798535
f13,halton,18339.107107638316
f13,halton,41361.70979945474
f13,halton,2790.0947482080455
f13,halton,7347.507079276566
f13,halton,4393.42887577033
